ВидНоменклатуры	Код	Артикул	Наименование	Ед
Столешницы	2284		Столешница EGGER H1145 ST10 Дуб Бардолино натуральный 4100х600х38	пог. м
Столешницы	2285		Столешница EGGER H1145 ST10 Дуб Бардолино натуральный 4100х920х38	пог. м
Столешницы	2286		Столешница EGGER U702 ST78 Кашемир серый 4100х600х38	пог. м
Кромка	2287		Кромка ABS Кашемир серый U702 ST9 б/к 43х2 мм	пог. м
ДСП	2288		ЛДСП 16мм Дуб Сонома 2750*1830	м2
Кромка	2289		Кромка ПВХ 2*19 Дуб Сонома	пог. м
Кромка	2295		Кромка ПВХ 2*42 Дуб Сонома	пог. м
ДСП	2296		ЛДСП 22мм Дуб Сонома 2750*1830	м2
Кромка	2297		Кромка ПВХ 1,8*25 Дуб Сонома	пог. м
Кромка	2303		Кромка ПВХ 1*19 Ясень шимо светлый	пог. м
Кромка	2304		Кромка ПВХ 0,4*19 Белая гладкая 2001 GP-Plast	пог. м
Кромка	2305		Кромка ПВХ 1*19 Белая гладкая 2001 GP-Plast	пог. м
ДСП	2306		ЛДСП 10мм Кронберг 2750*1830	м2
ДСП	2307		ЛДСП влагостойкая 16*2440*1830 Белый 9006 SM/SM	м2
[другой крепеж]	2315	85066256	Набор накладок 2 мм, фетр, 175 шт.	шт
[другой крепеж]	2327		Комплектующие для Fest50 LKC-3 для ЛСР	компл
[другой крепеж]	2328		Комплектующие для Fest60 LKC-3 для ЛСР	компл
ЛКМ	2337		Масло для столешниц NEOMID PREMIUM (Бесцветный, 0,4 л) / Масло для деревянных столов, досок и посуды	шт
ДСП	2341		ЛДСП 16мм Оранжевый 2750*1830	м2
ДСП	2342		ЛДСП 16мм Черный кристалл 2750*1830	м2
ДСП	2343		ЛДСП 16мм Дуб Харбор белый 2750*1830	м2
Кромка	2344		Кромка ПВХ 1*19 Дуб Харбор белый/Дуб Эльза (200м)	пог. м
Фанера	2345		Фанера ФСФ 2/3 (ВВ/СР) 09*2440*1220 ш2	м2
Столешницы	2346		Мебельный щит, ДУБ, 40мм, ЦЕЛЬНЫЙ (1200*600 ЭКСТРА)	шт
Профили	2347		Брусок 19*40*2200мм, сращ., б/с	шт
Заглушки	2348		Заглушка-самоклейка d=14мм, в ассортименте	шт
Заглушки	2349		Заглушка-самоклейка d=20мм, лист 28шт., в ассортименте	шт
Опоры	2350	112432	Ролик откатной D25	шт
Ручки	2351	196153	Ручка мебельная, скоба FS 212, 128 мм, черный матовый, Валмакс	шт
Заглушки	2352		Заглушка-самоклейка d=13мм, в ассортименте	шт
Заглушки	2353		Заглушка-самоклейка d=17мм, лист 70шт., в ассортименте	шт
Заглушки	2355	SCR.001.014.0004	Заглушка для винта бронза состаренная	компл
Ручки	2356	SH.RU2.096.BL	Ручка-раковина 96мм крепление саморезами черный матовый	шт
Кромка	2358		Кромка ABS Черный U999 ST7 б/к 19*2 мм	пог. м
Клеи	2361	KLB0106	Клей-расплав Kleiberit 773.3 мешок 20кг	кг
ЛКМ	2364		Лак PARKETT паркетный глянцевый 2л DUFA Retail	шт
ДСП	2365		ЛДСП Белый Супер ГЛАДКИЙ (Матовый) 16мм 2750*1830 влагостойкая	м2
[другой крепеж]	2377		Комплектующие для Como40подв. для Сэтл	компл
ДСП	2378		ЛДСП Lamarty 2750*1830*16мм Альберо	м2
Клеи	2382	AN705_125	Набор для экспресс склеивания Akfix 705 (125 гр+400 мл)	кг
Заглушки	2386		Заглушка 13 мм (наклейки или пластиковые).к отбойной доске ЛДСП Кронберг	шт
Заглушки	2387		Заглушка 13 мм (наклейки или пластиковые).к отбойной доске CPL 0.5 Дуглас светлый 3842/М	шт
Петли мебельные	2388	51MS150515P	Петля SLIDE-ON без амортизатора вкладная (90/105), стандартная	шт
Петли мебельные	2389	520201M500P	Площадка установочная под саморезы SLIDE-ON (0 мм)	шт
Подвесы	2395	1000791	Навес врезной SAH 302 белый, Hettich	шт
Подвесы	2396	1004973	Крюк для навеса SAH 302, 6х50, Hettich	шт
Уголки мебельные	2398	4585	Уголок СТ.128 40х40х16мм, толщина 1,8мм	шт
Стяжки/эксцентрики/евровинты	2399	12873	Эксцентрик усиленный пластиковый D 20мм темно-серый	шт
Направляющие	2403	10410	Направляющие для ящика Unihopper Magic Box, 400мм, с доводчиком	компл
МДФ	2406		ЛМДФ Kronospan Белый/Гладкая Deep 1ст. 2500*2070*16	м2
Кромка	2407		Кромка ПВХ 0,4*19 Серый Графит 0162, Galoplast (200м)	пог. м
Кромка	2408		Кромка ПВХ 0,4*19 Ясень шимо светлый 3238	пог. м
ДСП	2409		ЛДСП влагостойкая 16*2440*1830 Антрацит 9200 PE/PE	м2
[другой крепеж]	2410		Комплектующие для Fest50/60 антрацит для Силты	компл
Направляющие	2413	PB-0SHX-450-A	Направляющие скрытого монтажа MODERN SLIDE L-450 полного выдвижения с доводчиком	компл
